id,candidate,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,name,retweet_count,text,user_timezone,,,,,,,,,,,,,,tweet_created
23,No candidate mentioned,yes,1,Negative,1,None of the above,hoopsfanatic28f,404,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,"Lynnwood, WA",Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:54
24,No candidate mentioned,yes,1,Neutral,0.6701,None of the above,ottcanada,415,RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,"Vancouver, Canada",Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:55
25,No candidate mentioned,yes,1,Negative,0.6989,FOX News or Moderators,brattymad,93,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/๏ฟฝ,,,,,,,,,,,,,,,1/28/2016 9:56
26,Marco Rubio,yes,1,Negative,1,None of the above,America4Aliens,0,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.","Sydney, New South Wales",,,,,,,,,,,,,,1/28/2016 9:57
27,Scott Walker,yes,1,Negative,1,Abortion,mch7576,19,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger๏ฟฝ,USA ,,,,,,,,,,,,,,1/28/2016 9:58
28,No candidate mentioned,yes,0.6488,Negative,0.3401,,lex_ruu,156,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G๏ฟฝ",,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:59
29,Donald Trump,yes,1,Negative,1,None of the above,OldOne4Sure,2,RT @mch7576: RT ๏ฟฝ๏ฟฝ๏ฟฝ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu,Cleveland Texas,Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:60
30,No candidate mentioned,yes,0.6364,Negative,0.3295,None of the above,outlawjoZ,4965,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e๏ฟฝ,EveryWhere,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:61
31,No candidate mentioned,yes,1,Negative,1,None of the above,BMcCluregolf,0,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,"Green Bay, WI",,,,,,,,,,,,,,1/28/2016 9:62
32,Ted Cruz,yes,0.6458,Negative,0.6458,None of the above,Ruppy_puppy,14,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to ๏ฟฝ,,Atlantic Time (Canada),,,,,,,,,,,,,1/28/2016 9:63
33,No candidate mentioned,yes,1,Neutral,0.6629,None of the above,litvakfeliks,0,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,European Union,Bratislava,,,,,,,,,,,,,1/28/2016 9:64
34,No candidate mentioned,yes,1,Neutral,1,None of the above,audreyspizza,0,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,Canada,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:65
35,No candidate mentioned,yes,1,Negative,0.6576,FOX News or Moderators,1337invisible,0,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,News about tech and more!,Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:66
36,No candidate mentioned,yes,1,Negative,0.6393,FOX News or Moderators,TeaParty2A,216,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi๏ฟฝ",United States of America,Mazatlan,,,,,,,,,,,,,1/28/2016 9:67
37,,yes,0.6495,Negative,0.3402,None of the above,RotoStocks,2,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 ๏ฟฝ",,,,,,,,,,,,,,,1/28/2016 9:68
38,Jeb Bush,yes,1,Negative,1,None of the above,shirley_3008,3427,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t๏ฟฝ",,,,,,,,,,,,,,,1/28/2016 9:69
39,No candidate mentioned,yes,1,Negative,1,None of the above,jasonrlee,3,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism ๏ฟฝ",Arizona,Arizona,,,,,,,,,,,,,1/28/2016 9:70
40,No candidate mentioned,yes,0.6632,Neutral,0.6632,None of the above,Julie38xo_,12,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,,,,,,,,,,,,,,,1/28/2016 9:71
41,Donald Trump,yes,0.6559,Negative,0.6559,None of the above,JmeMad,4,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,"Chicago, IL",Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:72
42,No candidate mentioned,yes,1,Negative,0.6596,None of the above,nathansiegel_,4006,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:73
43,No candidate mentioned,yes,0.6304,Neutral,0.3261,None of the above,Chase_Lea10,50,"RT @RowdyGentleman: If you๏ฟฝ๏ฟฝ๏ฟฝre planning out a #GOPDebate drinking game right now, you๏ฟฝ๏ฟฝ๏ฟฝre a Rowd",,Arizona,,,,,,,,,,,,,1/28/2016 9:74
44,No candidate mentioned,yes,1,Negative,0.6869,Racial issues,Blessed_Sharday,450,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,Tac,Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:75
45,Donald Trump,yes,1,Negative,1,Women's Issues (not abortion though),SarahMLevin,0,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate","Washington, DC",Atlantic Time (Canada),,,,,,,,,,,,,1/28/2016 9:76
46,No candidate mentioned,yes,1,Negative,0.6591,Racial issues,briaslide,4416,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT",,Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:77
47,Donald Trump,yes,0.6813,Neutral,0.3407,FOX News or Moderators,leeleemunster,6,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,,,,,,,,,,,,,,,1/28/2016 9:78
48,Donald Trump,yes,1,Neutral,0.6524,Jobs and Economy,dbizcap,189,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http๏ฟฝ,California,,,,,,,,,,,,,,1/28/2016 9:79
49,Donald Trump,yes,1,Positive,0.6353,FOX News or Moderators,held_jana,0,���@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,,,,,,,,,,,,,,,1/28/2016 9:80
50,Mike Huckabee,yes,1,Negative,0.6458,None of the above,Matthew8News,0,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers","Richmond, VA",Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:81
51,No candidate mentioned,yes,0.6327,Neutral,0.6327,None of the above,Mor_Fost,12,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,Fort Worth,New Delhi,,,,,,,,,,,,,1/28/2016 9:82
52,Rand Paul,yes,1,Positive,0.6397,Women's Issues (not abortion though),WorldWarJess,78,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil๏ฟฝ",U.S. city with the most Cubans,Atlantic Time (Canada),,,,,,,,,,,,,1/28/2016 9:83
53,No candidate mentioned,yes,1,Negative,1,Women's Issues (not abortion though),Radiant_Body,4,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate๏ฟฝ","Denver, CO",Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:84
54,Donald Trump,yes,1,Negative,0.6633,FOX News or Moderators,NewsWriter2,0,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,Los Angeles,Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:85
55,No candidate mentioned,yes,1,Negative,0.6957,FOX News or Moderators,realmojesse5372,5,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate","Houston, TX",Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:86
56,No candidate mentioned,yes,1,Negative,1,Religion,HeathenTech,5,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri๏ฟฝ",Midgard,Mountain Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:87
57,No candidate mentioned,yes,1,Negative,1,Racial issues,mombizzz,105,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,U.S.A,Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:88
58,No candidate mentioned,yes,0.6611,Negative,0.6611,FOX News or Moderators,janet_sistare,23,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht๏ฟฝ,"Rhinebeck, NY",,,,,,,,,,,,,,1/28/2016 9:89
59,No candidate mentioned,yes,1,Negative,0.6667,Abortion,debby_lowery,230,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6",NW Florida,Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:90
60,Ted Cruz,yes,0.6829,Positive,0.3659,Foreign Policy,MelanieEli2015,123,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ

#GOPDebate #WakeUpAmerica #CruzCre",,,,,,,,,,,,,,,1/28/2016 9:91
61,No candidate mentioned,yes,0.6702,Negative,0.6702,None of the above,marcylauren,83,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso,Delaware,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:92
62,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,search4rr,154,"RT @AmyMek: Status ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http","Florida,, usually",Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:93
63,Donald Trump,yes,1,Positive,0.6693,None of the above,tcot2014,18,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://๏ฟฝ", NYC,Eastern Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:94
64,No candidate mentioned,yes,1,Positive,0.7065,None of the above,DavidWarren25,23,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST",San Diego,Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:95
65,No candidate mentioned,yes,1,Negative,1,Foreign Policy,TracyCarrillo15,135,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,,,,,,,,,,,,,,,1/28/2016 9:96
66,Rand Paul,yes,1,Neutral,0.6559,None of the above,Van_der_Leun,1322,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,"Seattle, WA",Pacific Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:97
67,John Kasich,yes,1,Neutral,1,Foreign Policy,kevinburger72,45,RT @JohnKasich: Scrap the President's Iran deal. Iran can๏ฟฝ๏ฟฝ๏ฟฝt get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZ,,Central Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:98
68,No candidate mentioned,yes,1,Neutral,0.6983,None of the above,Mamadoxie,0,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,,Mountain Time (US & Canada),,,,,,,,,,,,,1/28/2016 9:99
69,Donald Trump,yes,1,Positive,0.3508,None of the above,ancient_echoes,484,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve๏ฟฝ","Oxnerd, California",Arizona,,,,,,,,,,,,,1/28/2016 9:100
70,Donald Trump,yes,1,Negative,1,None of the above,papalputz,54,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:๏ฟฝ",Vatican City,,,,,,,,,,,,,,1/28/2016 9:101
71,Donald Trump,yes,1,Negative,1,FOX News or Moderators,randomsubu,0,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7","Pittsburgh, PA",Eastern Time (US & Canada),,,,,,,,,,,,,16-06-2016 09:54
72,No candidate mentioned,yes,0.6667,Negative,0.6667,Jobs and Economy,matters_world,11,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I๏ฟฝ",,,,,,,,,,,,,,,17-06-2016 09:54
73,Jeb Bush,yes,1,Negative,0.6667,Foreign Policy,ceg1258,4,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",TEXAS is the greatest state,Central Time (US & Canada),,,,,,,,,,,,,18-06-2016 09:54
74,No candidate mentioned,yes,1,Positive,0.337,None of the above,wise_bob,0,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,"Illinois, SW of Chicago",Central Time (US & Canada),,,,,,,,,,,,,19-06-2016 09:54
75,Donald Trump,yes,1,Negative,1,FOX News or Moderators,palmaceiahome1,0,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",,Quito,,,,,,,,,,,,,20-06-2016 09:54
76,No candidate mentioned,yes,0.6735,Positive,0.6735,Religion,JoshL78,233,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c๏ฟฝ","Walland, Tn",Eastern Time (US & Canada),,,,,,,,,,,,,21-06-2016 09:54
77,Donald Trump,yes,0.6333,Negative,0.6333,,lindamama02,5,"RT @SnarkyDemo: #DonaldTrump said he๏ฟฝ๏ฟฝ๏ฟฝs not ๏ฟฝ๏ฟฝ๏ฟฝpolitically correct.๏ฟฝ๏ฟฝ๏ฟฝ  Which, of course, is Trumpspeak for ๏ฟฝ๏ฟฝ๏ฟฝLet๏ฟฝ๏ฟฝ๏ฟฝs face i",,,,,,,,,,,,,,,22-06-2016 09:54
78,No candidate mentioned,yes,0.618,Negative,0.618,Abortion,DanielBeerthuis,804,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,"Holland, Michigan USA ",Eastern Time (US & Canada),,,,,,,,,,,,,23-06-2016 09:54
79,No candidate mentioned,yes,1,Negative,1,None of the above,agreenwood0216,224,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,,,,,,,,,,,,,,,24-06-2016 09:54
80,No candidate mentioned,yes,1,Neutral,0.6691,None of the above,MBryant_73,18,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt๏ฟฝ",Searcy,Central Time (US & Canada),,,,,,,,,,,,,25-06-2016 09:54
81,No candidate mentioned,yes,1,Negative,0.6239,None of the above,reemarakhee,1,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said ๏ฟฝ",,Eastern Time (US & Canada),,,,,,,,,,,,,26-06-2016 09:54
82,No candidate mentioned,yes,1,Negative,0.6211,Healthcare (including Medicare),AtticusBooks,0,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,"Madison, NJ",Eastern Time (US & Canada),,,,,,,,,,,,,27-06-2016 09:54
83,No candidate mentioned,yes,1,Positive,0.6667,None of the above,Phadros369,6,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,,,,,,,,,,,,,,,28-06-2016 09:54
84,Ted Cruz,yes,1,Positive,0.6977,None of the above,DeLoachJW,1449,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba๏ฟฝ","Arrington, TN",Eastern Time (US & Canada),,,,,,,,,,,,,04-01-2015 09:54
85,Donald Trump,yes,1,Neutral,1,None of the above,ou2va2le2monde2,532,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,,Pacific Time (US & Canada),,,,,,,,,,,,,04-02-2015 09:54
86,No candidate mentioned,yes,1,Neutral,0.6626,None of the above,Willieintn,23,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,,Eastern Time (US & Canada),,,,,,,,,,,,,04-03-2015 09:54
87,No candidate mentioned,yes,1,Negative,0.6889,Abortion,JoshDorner,0,"They๏ฟฝ๏ฟฝ๏ฟฝre all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXP",The District. ,Quito,,,,,,,,,,,,,04-04-2015 09:54
88,No candidate mentioned,yes,1,Negative,0.6629,FOX News or Moderators,HugeConspiracy,61,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/๏ฟฝ,Southwest USA,,,,,,,,,,,,,,04-05-2015 09:54
89,Donald Trump,yes,1,Negative,1,None of the above,DoremusJ,13,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t๏ฟฝ,9/10th mile north Nowhere OK,,,,,,,,,,,,,,04-06-2015 09:54
90,No candidate mentioned,yes,1,Neutral,1,None of the above,Daniel_DeMay,0,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,"Seattle, WA",Alaska,,,,,,,,,,,,,04-07-2015 09:54
91,No candidate mentioned,yes,0.6591,Positive,0.6591,FOX News or Moderators,LarkXOXO,0,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",Stevens Point // DeKalb,Mountain Time (US & Canada),,,,,,,,,,,,,04-08-2015 09:54
92,No candidate mentioned,yes,0.6667,Negative,0.6667,None of the above,RayT2011,839,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate๏ฟฝ,Los Angeles,,,,,,,,,,,,,,04-09-2015 09:54
93,No candidate mentioned,yes,0.6526,Positive,0.3474,None of the above,poconofolks,1,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,,,,,,,,,,,,,,,04-10-2015 09:54
94,No candidate mentioned,yes,1,Positive,1,None of the above,IdahoGOP,44,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i๏ฟฝ,"Boise, Idaho",Mountain Time (US & Canada),,,,,,,,,,,,,04-11-2015 09:54
95,No candidate mentioned,yes,1,Negative,1,None of the above,kweidleman,1,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X๏ฟฝ","Washington, DC",Eastern Time (US & Canada),,,,,,,,,,,,,04-12-2015 09:54
96,Donald Trump,yes,1,Negative,0.6659,None of the above,ACasaFreehold,1,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,191 Throckmorton St. Freehold,,,,,,,,,,,,,,4/13/2015 9:54
97,Jeb Bush,yes,0.6643,Neutral,0.3517,None of the above,ceg1258,1,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""",TEXAS is the greatest state,Central Time (US & Canada),,,,,,,,,,,,,4/14/2015 9:54
98,No candidate mentioned,yes,1,Negative,1,None of the above,gleason_danny,347,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,"Austin, Texas",,,,,,,,,,,,,,4/15/2015 9:54
99,Marco Rubio,yes,0.6734,Negative,0.6734,LGBT issues,seedywumps,9,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht๏ฟฝ,"lib utopia, with unicorns",Pacific Time (US & Canada),,,,,,,,,,,,,4/16/2015 9:54
